trip_id,user_id,user_type,bike_id,bike_type,start_station_id,end_station_id,start_time,end_time,duration_minutes,distance_km,status,distance,is_outlier,fare
TR10000,USR1100,member,BK243,classic,ST105,ST106,2024-11-19 16:55:00,2024-11-19 17:01:46,6.8,11.06,completed,0.03733206751574326,False,0.5458666033757872
TR10001,USR1189,member,BK327,classic,ST100,ST108,2024-05-03 11:15:00,2024-05-03 11:17:00,2.0,9.07,completed,0.0969334706383672,False,0.16484667353191837
TR10002,USR1162,member,BK283,classic,ST106,ST103,2024-05-07 12:17:00,2024-05-07 13:02:27,45.5,10.3,completed,0.11904213884167268,False,3.645952106942084
TR10003,USR1105,member,BK251,electric,ST106,ST111,2024-05-23 21:56:00,2024-05-23 22:14:10,18.2,4.28,,0.04178677691567008,False,1.4580893388457834
TR10004,USR1199,member,BK312,electric,ST108,ST108,2024-04-08 21:15:00,2024-04-08 22:11:51,56.9,13.36,completed,0.0,False,4.552
TR10005,USR1171,casual,BK329,classic,ST105,ST107,2024-12-05 08:47:00,2024-12-05 08:49:40,2.7,10.12,completed,0.050466934917826375,False,2.115070040237674
TR10006,USR1103,member,BK262,electric,ST103,ST100,2024-03-08 06:13:00,2024-03-08 06:22:50,9.8,11.32,completed,0.14401080976787842,False,0.7912005404883939
TR10007,USR1081,member,BK291,classic,ST111,ST110,2024-01-22 19:29:00,2024-01-22 20:59:18,90.3,6.2,cancelled,0.10779380600479702,False,21.83366907090072
TR10008,USR1135,member,BK328,classic,ST111,ST114,2024-11-12 21:18:00,2024-11-12 21:39:12,21.2,11.64,completed,0.016389647952289345,False,1.6968194823976144
TR10009,USR1032,member,BK202,classic,ST105,ST102,2024-08-20 10:23:00,2024-08-20 10:33:02,10.0,8.52,completed,0.04161141401106151,False,0.8020805707005532
TR10010,USR1138,casual,BK229,classic,ST106,ST100,2024-09-12 08:17:00,2024-09-12 08:37:20,20.3,14.07,completed,0.10210958549519314,False,6.082816437824279
TR10011,USR1135,casual,BK317,electric,ST106,ST101,2024-05-06 15:01:00,2024-05-06 15:10:44,9.7,12.81,completed,0.033907111009347915,False,2.4583907111009347
TR10012,USR1145,casual,BK227,electric,ST102,ST101,2024-01-13 12:56:00,2024-01-13 13:20:42,24.7,3.32,completed,0.026625732703536912,False,4.707662573270354
TR10013,USR1131,member,BK201,classic,ST111,ST101,2024-11-17 22:51:00,2024-11-17 22:53:00,2.0,4.9,completed,0.06849815642774768,False,0.16342490782138738
